customer_id,age,annual_income,months_active,avg_monthly_spend,purchase_frequency,avg_order_value,discount_usage_rate,return_rate,browsing_time_minutes,support_interactions,payment_method,region,customer_segment,annualized_spend,spend_to_income_ratio,support_intensity,discounted_order_value,engagement_score,value_tier,cluster
33554,53,100473.21170893354,63,121.43056506459864,0.8172677727505312,66.82040307180874,0.1172560325657158,0.0231439770726946,77.29839307918124,2.0,Card,Semi-Urban,Occasional,1457.1667807751837,0.014503037735038585,0.031746031746031744,58.98530771316648,0.5977150856313951,Low,4
9428,54,54730.64484513024,67,572.5526739973803,3.176550640172249,137.0874492674096,0.2616465984538689,0.4290536465716187,92.13256457547102,2.0,Wallet,Urban,Occasional,6870.6320879685645,0.12553537615736482,0.029850746268656716,101.21898447587455,-2.0848909737532724,Top,3
200,44,58268.12107913869,57,266.5938962650469,2.7131678555589325,71.7968878961216,0.2847845209473695,0.0118539298572257,155.1947682529923,1.0,UPI,Rural,Occasional,3199.126755180563,0.05490355096289389,0.017543859649122806,51.35024557111262,3.2607470629953412,Medium,0
12448,54,64829.79565413841,40,691.4523582303511,5.5539771536591145,105.50118531376177,0.1048318728979062,0.399686280061852,113.91775621856496,0.0,Wallet,Rural,High_Value,8297.428298764215,0.12798788296403565,0.0,94.44129846437104,-0.451011398369359,Top,3
39490,28,27431.46787327139,15,832.6647922901562,1.3483888484227768,354.56853444411047,0.4092037328990258,0.0395167187775619,50.12365569083919,1.0,Card,Semi-Urban,Occasional,9991.977507481875,0.36425238174067365,0.06666666666666667,209.47776658104365,-0.20057981667033184,Top,2
42725,67,13511.061643895571,49,212.41543171933588,1.295646650519839,92.52967205176604,0.4350556640532745,0.188970414427026,131.10141681722877,1.0,UPI,Semi-Urban,Occasional,2548.9851806320307,0.1886591333689671,0.02040816326530612,52.274114132653246,0.5849979887496211,Medium,0
10823,50,66876.74328415484,60,453.2533527265212,3.41862070256025,102.57801772030255,0.108830121751769,0.0164312421318721,190.57800160831604,2.0,Card,Rural,Occasional,5439.040232718255,0.08132932265568217,0.03333333333333333,91.4144395627469,4.2523907810467545,Top,0
49499,64,36787.73001021955,59,193.6487622814437,2.003375207684828,64.47704628644091,0.2275169497621805,0.1274855722604361,7.365580970053989,1.0,Card,Rural,Occasional,2323.7851473773244,0.06316739702971023,0.01694915254237288,49.80742538567495,-1.7035527758943938,Low,0
4145,46,62195.52542318222,53,274.825091486872,0.3694136897714731,200.68814379439613,0.2522670641166797,0.1899573411125503,22.635229299483708,1.0,UPI,Urban,Occasional,3297.901097842464,0.05302473249326764,0.018867924528301886,150.06113495635776,-2.396970830498668,Medium,2
36959,50,34685.254336158985,39,925.5864886354484,5.61978748895967,139.821178576974,0.1862180675258514,0.1921103617112076,22.47901076001566,3.0,Wallet,Rural,High_Value,11107.03786362538,0.3202236245979151,0.07692307692307693,113.78394890318295,-1.0668743285888198,Top,2
43107,45,60650.9621953484,10,519.5444520759468,0.7241679051104851,301.3305435833723,0.5051759616986348,0.1286286219883209,86.00833212434196,2.0,Card,Rural,Occasional,6234.533424911361,0.10279364414418994,0.2,149.10559643946982,-0.8079278629520106,Top,2
38696,64,85521.1866315621,64,155.88626077135066,6.151184809488701,21.798662029333894,0.3441762542324706,0.0592356064741621,126.654781241275,2.0,Card,Urban,Loyal,1870.635129256208,0.02187335329332111,0.03125,14.296080184798166,3.0862138001185313,Low,4
6189,38,40270.90586727695,60,58.582597766798834,3.2444258228596,13.802243274292854,0.3004235950989891,0.3026578317514838,73.44758213272384,0.0,Card,Semi-Urban,Regular,702.991173201586,0.017456552269235582,0.0,9.655723729398952,-1.248856898729275,Low,3
1415,25,16280.515318714371,48,71.54113508811407,4.1586729128523325,18.94322540360117,0.1323525379746026,0.3905357915805484,101.60015765452886,1.0,Card,Semi-Urban,Regular,858.493621057369,0.05273135427541011,0.020833333333333332,16.436041444009586,-1.1657977983175336,Low,3
18472,45,36787.73001021955,68,214.0414505358172,3.56512465630459,46.88622253506677,0.0791653681220587,0.1425197916531578,31.05952573368141,1.0,Wallet,Semi-Urban,Regular,2568.4974064298067,0.0698194046144267,0.014705882352941176,43.17445746822545,-0.7784012591955809,Medium,0
29283,48,36535.45635313846,72,159.70131829441263,3.82862220414103,33.07388972312902,0.3808509966455972,0.1147396359138277,96.59638313352748,0.0,UPI,Urban,Regular,1916.4158195329514,0.052453589220552536,0.0,20.47766585912876,1.244322433205231,Low,0
15178,53,29415.392097386062,28,166.73854634729815,1.345540380232831,71.08747636685189,0.0745205087715335,0.2032440267557703,7.897929884953998,1.0,Card,Urban,Occasional,2000.8625561675778,0.06802093779825497,0.03571428571428571,65.79000146070972,-2.657752492142939,Low,3
34305,39,33533.93338041808,31,1393.0484932207055,6.093235603685162,196.3911212108861,0.2016640024066185,0.0343840800186923,77.85028888577091,1.0,Card,Urban,Occasional,16716.581918648466,0.4984974989068835,0.03225806451612903,156.78610167037544,2.0798248984563648,Top,2
